UnitID,State_Abbr
190567,NY
190576,NY
190594,NY
190600,NY
190637,NY
190646,NY
190655,NY
190664,NY
190682,NY
190691,NY
165529,MA
211893,PA
113236,CA
496070,NY
190716,NY
190725,NY
219082,SD
219091,SD
224226,TX
224244,TX
224615,TX
224305,TX
139463,GA
492102,DC
182670,NH
169479,MI
198385,NC
237358,WV
194569,NY
133386,FL
165574,MA
202514,OH
130934,DE
130907,DE
211981,PA
113537,CA
175616,MS
202523,OH
126979,CO
144740,IL
150400,IN
154156,IA
210739,PA
434900,PR
443562,PR
449135,PR
469416,PR
212009,PA
200059,ND
158802,LA
105297,AZ
445869,VA
153241,IA
230171,UT
181020,NE
190761,NY
113704,CA
148496,IL
113698,CA
122117,CA
155007,KS
153250,IA
449481,FL
153269,IA
184348,NJ
212054,PA
177214,MO
492801,MO
198419,NC
175227,MN
212106,PA
150455,IN
198464,NC
207041,OK
139621,GA
212115,PA
220075,TN
224527,TX
144883,IL
129215,CT
132693,FL
144892,IL
156620,KY
232043,VA
169798,MI
165644,MA
187648,NM
208646,OR
212133,PA
231970,VA
235097,WA
446233,AR
133492,FL
247162,MI
177278,MO
238661,WI
212160,PA
235103,WA
243832,PR
241836,PR
494278,PR
494287,PR
492476,PR
442806,VA
133526,FL
198507,NC
212197,PA
486080,NY
144962,IL
190983,NY
198516,NC
133553,FL
104586,AZ
426314,FL
165662,MA
139630,GA
165671,MA
153302,IA
232025,VA
139658,GA
155025,KS
165699,MA
124487,CA
224712,TX
409254,IL
217998,SC
241951,PR
144971,IL
177339,MO
212443,PA
385619,FL
196680,NY
460376,VA
129242,CT
184694,NJ
184603,NJ
237367,WV
153320,IA
443049,WA
212452,MD
494597,FL
443058,OK
196042,NY
191126,NY
101189,AL
198543,NC
114433,CA
184612,NJ
169910,MI
232089,VA
114549,CA
172440,MI
165802,MA
220181,TN
165820,MA
133711,FL
133650,FL
133669,FL
133809,FL
135160,FL
433660,FL
133881,FL
480569,FL
133951,FL
133979,FL
482936,FL
134079,FL
133508,FL
133702,FL
134097,FL
177418,MO
114716,CA
191241,NY
155061,KS
127185,CO
139719,GA
165866,MA
218061,SC
160074,LA
114734,CA
205957,OH
212577,PA
150604,IN
182795,NH
202806,OH
441982,MA
220215,TN
114813,CA
155089,KS
127200,CO
156727,KY
162584,MD
114840,CA
218070,SC
481030,WV
131450,DC
224961,TX
212601,PA
198561,NC
145275,IL
456542,PA
212656,PA
208822,OR
232186,VA
131469,DC
156745,KY
131496,DC
139861,GA
447689,GA
139700,GA
139755,GA
485111,GA
139931,GA
139764,GA
139940,GA
184773,NJ
212674,PA
494551,NY
237385,WV
230889,VT
202903,OH
115083,CA
130989,DE
235316,WA
202912,OH
129154,CT
165936,MA
139968,GA
165945,MA
150668,IN
162654,MD
145336,IL
170000,MI
150677,IN
461528,NC
481058,CA
481401,TX
153366,IA
115214,CA
159009,LA
170082,MI
153375,IA
183257,NH
212771,PA
235334,WA
225070,TX
182306,NV
170091,MI
235343,WA
198598,NC
218113,SC
145372,IL
153384,IA
212805,PA
240745,GU
494560,TX
198613,NC
134343,FL
173647,MN
212832,PA
495314,NJ
225201,TX
191515,NY
173665,MN
232256,VA
166018,MA
232265,VA
177542,MO
150756,IN
225247,TX
107044,AR
177551,MO
446640,PA
129491,CT
191533,NY
166027,MA
115409,CA
155140,KS
181127,NE
111045,CA
212911,PA
141644,HI
173683,MN
166045,MA
145497,IL
203067,NY
203085,OH
191597,NY
166054,MA
107071,AR
107080,AR
170240,MI
198677,NC
101453,AL
235422,WA
200785,OH
140340,GA
101365,AL
459851,WI
459842,WI
240392,WI
174154,MN
433536,LA
386472,FL
155177,KS
198695,NC
485403,CA
235431,WA
191621,NY
170286,MI
203128,OH
191630,NY
134510,FL
367884,FL
191649,NY
232308,VA
129534,CT
150774,IN
239743,WI
212984,PA
115728,CA
457086,CA
162760,MD
443076,NC
170301,MI
120537,CA
457226,IN
191676,NY
225399,TX
246345,TX
225548,TX
131520,DC
164368,MA
242121,PR
115755,CA
115773,CA
101435,AL
150941,IN
449348,AL
487524,ME
225575,TX
193405,NY
142276,ID
127273,CO
434584,AK
145691,IL
145628,IL
145725,IL
145813,IL
145646,IL
213011,PA
465812,UT
495280,AZ
134608,FL
151290,IN
492962,IN
151324,IN
