UnitID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
483586,75,,,,,,,,,
486488,100,75,100,100,71,,,,,
110413,84,83,85,85,84,83,85,82,85,83
110422,94,94,95,95,93,93,92,93,93,91
110529,90,87,86,89,89,89,90,89,90,88
111188,76,82,75,85,82,83,82,82,86,81
110486,77,78,76,76,76,73,74,72,71,68
441937,77,78,79,81,79,76,78,84,82,76
110538,84,85,84,86,84,87,87,87,88,85
110547,77,78,77,82,82,80,79,77,80,69
110574,76,76,75,77,80,81,78,75,76,74
110556,83,81,81,79,83,83,83,83,86,87
110565,89,88,87,89,88,89,89,88,85,84
110583,87,87,88,90,89,90,89,88,89,88
110592,81,82,79,79,84,84,82,80,81,82
409698,80,83,79,80,82,83,81,80,79,75
110608,81,81,80,77,79,77,78,75,75,75
110617,83,81,83,81,80,83,83,82,83,80
110510,86,86,85,85,87,88,89,88,89,86
366711,79,77,79,81,81,83,82,82,82,81
110495,83,82,80,85,81,85,87,82,83,86
211361,72,71,73,72,77,77,80,78,73,74
496043,,,,,,,,,,
111391,,,,,,,,,,
150172,47,57,50,51,51,58,62,60,51,56
176789,63,62,74,52,69,54,66,63,71,69
169099,,,,,,,,,,
169080,85,87,87,85,86,87,87,86,87,87
165167,22,43,83,38,60,61,71,41,21,14
206914,67,60,65,62,65,62,60,57,56,52
198136,76,74,72,72,74,72,70,72,77,72
156365,68,63,66,61,59,58,69,63,66,68
189705,84,85,83,84,83,86,80,82,84,84
201548,78,78,78,75,76,76,74,75,74,76
162061,70,72,72,73,87,75,82,82,74,70
238430,60,72,77,73,68,72,71,66,71,72
241377,70,70,65,64,77,73,80,63,63,78
241386,56,67,73,66,69,71,75,54,61,81
363907,83,83,68,65,74,76,73,74,69,61
363916,63,71,57,85,64,90,70,69,74,60
173258,95,97,96,96,96,97,96,98,96,98
211431,78,80,78,74,77,78,72,70,74,65
211440,97,97,96,96,98,96,94,95,96,96
199971,90,100,0,50,100,100,100,100,100,
461032,50,40,0,67,0,100,75,50,,
